,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
QC2,309295,85705,10363481,79851,64726,110408,5597714,10483,7220,1322757,100228,1865,2822010,20331,100166,100423,20473,11295,174541,1812064,128230,136896,189305,200403,54680,80466,255778
MB1161,265762,59560,7011384,4658,39396,84873,4369918,5454,9615,1187541,69624,818,1453079,38071,79764,94413,20371,7385,198286,1931379,166834,36820,194216,210240,34304,73738,96211
MB1162,58097,31415,6114697,2816,31145,66312,3928367,3970,2866,738316,63330,1127,1573154,7881,45953,65157,14424,8790,121646,1709876,126378,24882,199238,114412,21747,53447,177362
MB1163,636634,68109,13160640,7120,247031,111899,5676706,14186,20912,1898303,145535,943,1596704,30676,89924,75037,17497,10327,245138,2184609,129465,46785,283211,176089,32418,94539,157945
MB1164,336762,72625,8342465,6572,95062,92174,4138245,5811,12120,971158,61670,1093,1832355,65209,68465,65936,10060,6137,251570,1830754,126437,37831,216506,145172,30841,72103,109075
MB1165,138195,49772,5648722,3343,33210,71754,3503861,2409,7264,637751,41640,683,1204774,40018,27156,54224,8606,5663,139240,1917263,103082,40050,229437,134709,26438,73953,108181
MB1166,449104,78854,11190531,3825,108013,89398,5219175,5372,7699,1331991,88336,3407,2007518,51883,142575,88541,18259,8805,296983,2301700,164991,69189,231255,173103,33512,122760,112436
MB1167,438801,117438,9408647,5109,90984,128117,4685397,5322,11680,1583981,90513,1382,2262779,44119,328255,96425,25097,12443,326812,2073128,170992,42699,270117,186753,43748,106865,74784
MB1168,309772,79649,7838454,5910,84441,92702,4368791,4740,8212,1136767,95563,1112,2322288,50086,97637,72974,13983,11689,283019,2004982,143433,51423,188362,172002,33440,83227,246995
MB1169,296883,50486,6953630,4256,42001,86959,4283775,4844,8178,939416,53766,529,1095493,50684,36795,71618,14168,6849,159944,2278652,146960,40976,296733,179835,43765,75089,158536
MB1170,532264,122604,9573661,50223,182027,107235,4679489,4608,12995,1210203,78190,3810,1610163,91908,78755,83657,13139,6879,293553,2261103,172159,63991,290785,199453,33701,99318,130409
QC1,377968,102098,15582763,36073,134630,174483,8125298,57499,9596,1718961,146889,21080,3331950,29696,183136,130298,27902,15942,207262,2101415,208209,159079,165763,261913,89522,81506,321160
QC2,369215,102823,12175178,107600,80718,132770,6468712,6141,7961,1623249,126468,1874,3512251,26772,131730,118696,25773,14762,221347,2276402,156484,178656,200262,250267,80849,102265,324069
MA1161,403863,79313,9583930,8708,63461,112638,5503345,6280,12968,1737113,102751,1147,2314245,66927,132743,102711,27971,10222,274138,2519350,170713,54224,230692,196227,51394,98452,133025
MA1162,95747,47951,8640260,6878,52340,97121,5101774,5224,4311,1061109,92388,1364,2453711,12841,75805,98615,19387,12057,169410,2239232,201497,34301,275748,197698,43088,66751,229957
MA1163,843497,87039,16187282,12115,329263,141565,6762239,16750,26467,2374030,190390,815,2044428,44170,130095,93491,24884,13438,307507,2582930,162819,62408,318870,217992,54573,111284,184968
MA1164,598098,118829,13562804,15370,180789,153128,6342746,7785,19535,1678746,101909,4835,3312341,130729,134026,98103,17536,10866,464637,2989465,210295,67896,275708,227084,63458,111382,177500
MA1165,325580,103738,10845491,11229,76954,139876,5917980,8810,13000,1169266,75645,1457,2634781,103991,62153,99042,14538,9579,246940,3143798,187217,69077,407146,233850,71152,107159,166525
MA1166,724286,115178,15480126,9991,169943,123998,6453981,13050,10549,1859970,121860,1612,2903123,86824,234472,116338,23849,11351,374759,2724801,199478,121466,273645,229983,51561,144853,133786
MA1167,966733,228375,17195718,13998,205053,241035,7697619,14805,20553,3115904,185667,6704,4582651,105384,785726,180731,49134,23217,664324,3377160,299426,84330,409115,331678,89539,178697,135264
MA1168,397238,101724,12653101,8753,116285,127501,5949056,11962,11962,1539940,122495,1531,3186630,73189,139816,106235,19728,16683,419564,2751836,212960,73092,262245,261722,68635,118067,342572
MA1169,376280,80240,11433215,7655,77985,145094,6871012,9174,13890,1581641,107872,894,1951217,99798,67058,116182,25360,11575,291833,3754346,218537,74575,468397,247550,61730,125389,264965
QC1,385813,104452,15683970,36262,136229,177920,8180628,58162,9424,1712569,147849,21983,3342361,31296,186941,132913,28152,16451,203023,2089657,197016,159205,168832,265619,100959,85000,314733
QC2,499366,136825,15451317,116727,90540,173170,8858536,31085,12529,1800004,137289,3372,3762970,29994,148501,163810,30536,17029,253025,2494971,207589,194869,423213,282361,93594,113927,355583
MB1171,116279,43755,7337459,3314,39875,81274,4730113,5538,5631,935351,83871,1523,2301971,14313,73137,94881,16731,10580,223114,2014830,163519,45871,207716,195777,34700,70586,203126
MB1172,328439,73716,9595678,5298,84946,101649,5068236,5966,10896,1464984,93343,1265,2027019,21246,155941,86388,22761,12300,242464,1724166,158769,52372,206357,140909,24988,74157,199004
MB1173,254768,69873,7134749,3455,37716,86191,4618138,4492,12055,947475,64334,1010,1492208,22223,84620,79833,14320,8279,225831,1794992,144939,31862,269617,176584,50135,89940,158132
MB1174,154316,53118,6913330,3796,50662,87037,4516247,7267,8972,946448,64897,977,1190874,29641,27731,87044,17935,9245,206003,2394219,172440,31673,409991,196183,66942,87567,128020
MB1175,477843,118893,10908413,7070,98651,138179,5423338,6257,13915,1479916,97944,1166,2287407,42098,110760,96388,19445,10078,323410,2347486,186970,38261,279641,225221,81565,101275,168553
MB1176,645200,93433,9607456,2289,146689,109156,5697634,5852,6643,1337139,91166,1159,2432410,46459,136219,98541,17768,13780,374799,2056196,199391,56100,216107,248323,36437,81259,337087
MB1177,375694,109530,8189638,6999,71052,112213,4622263,4785,16037,1017383,64179,710,1802222,24059,88186,90763,14104,7371,224194,1764881,161513,110211,178486,189903,59615,101439,199795
MB1178,994722,176712,13151671,13455,134989,206307,7047986,10004,55423,1586905,97789,981,2237742,60267,112942,111384,18694,11630,405155,2642149,209071,83881,273687,267212,66599,113467,269221
MB1179,210181,70091,8382297,4398,54729,86011,4669303,5896,6009,1267074,73316,1027,1961932,37826,69274,80595,19110,9368,239682,1725627,140911,99774,131677,137203,45220,82422,267764
MB1180,296526,92476,9162853,5298,58725,132045,5481378,4668,11945,1113224,104852,1594,2442719,8340,138641,99826,15794,11909,145909,2591679,173447,90877,199833,163174,58089,85449,361572
QC1,394250,106756,16006500,36200,139420,182461,8377396,60971,9504,1750077,150630,22367,3414886,32075,191754,133220,29032,16879,211406,2175200,213503,166786,171800,260947,106586,88522,327828
QC2,427787,120097,13529861,107653,92859,149737,7232974,5857,9640,1818999,160202,2145,3967541,31261,151892,175160,29483,16960,255070,2563045,206744,206324,213059,282848,94515,119791,376861
MA1171,179033,56782,9565107,7054,64640,102939,5547883,4873,5351,1261906,101716,1937,3570748,23692,127591,101436,20165,13232,228829,2344171,169412,60174,210983,192156,76922,88125,254788
MA1172,502194,91500,9831044,7422,126788,90318,3227725,5578,10285,1489457,95400,1330,2562010,31069,244162,54766,16534,10050,229704,1605910,92917,62954,149015,108725,24219,60434,191138
MA1173,597975,148713,14156567,11796,76299,176417,8532094,35907,21550,1585874,93598,2702,2646020,43211,178761,132500,23358,13010,349995,2342493,199343,51430,571554,182624,67359,107349,196593
MA1174,215452,65588,8841739,8104,83586,106259,5153444,7907,11537,1336617,90745,830,1857587,50587,44394,91415,21232,11687,273800,2910253,155781,62874,425423,176219,84689,100702,155623
MA1175,589911,141704,12711673,11708,136156,161628,5622908,5295,16400,1837133,126078,1516,3022756,58563,156822,90532,22125,12674,478708,2654212,164548,46189,271408,178342,88444,110588,189492
MA1176,855494,107750,13874135,11489,204921,126032,5885967,5587,7924,1704972,118435,1646,3158363,65058,194139,95597,18683,16229,439229,2240729,174692,67024,204539,180913,26050,84909,351489
MA1177,583742,189820,11524692,8769,118002,161390,6245353,8357,26002,1508720,86094,5534,2843774,38695,142173,110381,19057,10787,329824,2395995,188122,158147,207094,179325,64220,131887,274910
MA1178,1660890,286925,20458543,20517,242438,334509,10659655,19425,92901,2644031,190128,11599,3677871,108482,204539,184648,35279,19987,642486,4042017,331822,138150,412348,377193,81910,174556,427469
MA1179,418434,137134,16085031,14051,118479,172983,8596730,10989,11550,2461249,151906,1924,4084582,83403,146149,166433,36889,18917,513075,3324691,362884,213870,259093,424268,123540,164248,537440
MA1180,288410,92970,9280075,7117,58005,134364,5496388,4533,14215,1086702,111847,864,2541498,9150,143176,102379,15594,12428,161575,2595975,202386,95207,210109,232332,96130,89464,377893
QC1,375269,102074,15233953,34410,133529,175121,8004310,57505,9352,1669994,143809,21833,3265231,30786,187467,132012,30763,20793,234761,2146984,216800,164940,167171,258320,104862,91657,332813
QC2,380653,110691,12986346,98126,83523,147213,7112355,7221,8410,1663772,131239,2248,3566448,27937,129188,129659,29455,17619,247151,2437031,168827,186577,215734,260448,124362,121787,355878
