,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
M-MHT1127,246213,61727,6813938,279,61282,82767,3492389,1609,11129,1073347,60639,1664,1330061,13574,77308,73601,8795,4308,111810,964067,116244,89666,58900,108243,17812,60156,141473
M-MHT1128,231680,53759,6588871,176,64290,63129,3412965,6855,6942,1117325,57356,1438,1654362,29269,109681,71967,10838,5722,170043,1169662,114497,20829,138428,114298,24498,33933,62647
M-MHT1129,84354,38959,5021111,192,34235,44567,2486794,1044,2642,569468,41598,993,1191889,15720,23902,39096,4318,3596,94871,1030728,70874,21703,73433,62749,13441,25826,87089
M-MHT1130,367362,65966,7031257,136,44998,65502,4190888,8382,9131,609837,40787,1694,1316229,15705,60836,68690,5972,4652,152950,1258500,126748,29008,109907,127096,27705,54404,92460
QC1,230902,56066,8315242,676,58445,74985,4111210,2775,3122,942274,67398,2005,2050406,14650,83420,58636,8163,6343,84675,1224157,82349,87033,75505,94495,28345,41470,172351
QC2,239855,63558,8112620,246,47025,72438,4070522,2016,3456,999586,72010,2833,2411845,14165,66337,52469,9290,6768,112889,1380928,66508,111544,89052,93050,24490,51775,178884
WB-MHT1131,232633,42614,7438687,1503,61647,59142,3546999,13354,3833,1151960,80166,4837,2051531,17201,76637,144011,7552,5735,100150,1187805,141234,20382,76419,115042,11577,32908,100524
WB-MHT1132,341874,100475,8574969,2788,107477,96868,4050771,10764,9936,1035014,86428,6636,2260128,63002,102342,115364,7721,6103,186869,1762548,115176,61683,97804,104523,17455,57753,91366
WB-MHT1133,362503,31677,8773363,6133,115482,32675,3343135,34769,9203,806268,53908,11584,1693136,48456,119403,153214,6209,4962,133377,1006549,150467,62495,68787,122237,14278,41790,90351
WB-MHT1134,574039,49413,9674578,19394,200978,70614,3860426,26785,8312,1374400,101624,4023,1066799,30107,75544,223899,9546,5569,137054,1289685,218431,37617,109512,165826,11390,59580,73719
WB-MHT1135,567405,102588,10156107,7860,128213,95587,4470242,14526,16886,1400162,80233,6298,2658712,73293,182507,127142,9416,4827,234668,1703656,136842,58114,107480,123352,16443,75901,80721
WB-MHT1136,300737,71703,9767135,9791,136748,68232,3376756,16800,5474,1293172,95847,4701,1641090,43117,77294,142874,9907,6858,220860,1783563,159932,36395,133198,131629,18894,45657,115450
WB-MHT1137,278785,56748,8611470,3527,59574,80189,4338908,10550,6041,1062460,73447,7026,2609995,13833,101107,131415,8381,7898,101432,1418360,136527,20506,131051,133308,21096,45783,140361
WB-MHT1138,182101,53147,6880099,3339,56820,68415,3479976,9039,8882,926360,58103,4469,1432726,25021,29838,96044,8708,4932,160150,1366495,113909,23849,136685,121293,17963,50290,134008
WB-MHT1139,581919,119605,8819232,4988,90979,119873,4577406,15759,21094,1180821,65275,6499,1785838,50523,79826,167346,8245,5534,232499,1569610,166619,62790,119700,138509,11317,57696,123683
WB-MHT1140,165670,29648,4831697,3944,17426,52438,2987536,56016,23724,483394,25286,11834,501750,20121,19919,107013,4683,1933,49613,840769,136762,11945,77119,163822,13817,16087,37976
QC1,202959,48643,7171551,357,50292,63638,3492397,3527,3211,807217,58747,3818,1772747,12599,69990,48949,7829,5397,71537,1020425,69130,73990,61013,79502,22906,87844,137267
QC2,272194,75677,8972209,34357,61201,85666,4585662,4060,4597,1119514,82148,5319,2622459,15707,75128,68232,11630,7568,126792,1550168,80755,121805,102969,109177,25315,116628,193229
