batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
4,399513-020,209161,85941,12912458,1171,85236,161310,6873281,5212,7543,1265375,105908,4250,2613858,21829,100944,120365,17554,10078,96104,2119613,186247,166027,126609,190223,46390,61632,403902
4,QC1,728576,185821,25214629,6433,214495,294055,13034999,11440,12084,2598073,209164,8378,5443696,56192,300067,233337,40495,27168,309970,3831233,328327,282274,277761,427397,125134,148754,581822
4,QC2,492860,132065,16072481,878,110438,180974,8428414,6104,9610,1768765,139560,8090,4074612,45078,153739,119029,27329,19218,249065,2647315,108441,217837,229707,165600,38652,110397,353710
4,399513-021,308567,69145,12056483,1530,151366,107684,6065861,7389,5966,1259133,103283,3321,2413580,21660,92047,94295,13797,10733,141812,1761285,140689,61619,119965,137798,36987,58291,244171
4,399513-022,305155,92672,16135910,1059,163217,174000,8391239,10391,8187,1620636,136953,5449,2857948,12006,113850,131162,23803,12761,157679,2148987,190221,165625,147298,181433,47617,67569,419775
4,399513-023,323639,47851,10252705,1274,98967,92273,5267800,5107,2570,787355,64488,3301,1088134,15917,47791,86013,11527,6346,68873,1424963,116222,204256,69293,100241,29720,74859,294041
4,399513-024,260216,78274,8598411,2439,61685,82347,4805242,4787,2254,784636,54471,2250,1596096,21649,58870,74177,10315,6613,102851,1577809,104291,175947,81967,109338,18764,56065,251531
4,399513-025,490015,123273,14612015,8051,153680,181936,7152143,9446,8645,1661579,101048,4525,2389465,58375,142243,100090,17804,8826,150232,1946146,108055,258030,133509,96152,21270,92416,425252
4,QC1,606387,154474,21450908,5791,180955,245943,11098653,9821,9864,2223624,172690,6479,4628431,44934,248473,191051,33467,21875,253221,3240174,276503,237223,226215,352965,105532,121664,482537
4,QC2,444474,118837,15003095,979,100496,165618,7912045,6062,8612,1627657,127076,5914,3703634,30817,133846,104461,23877,16434,223772,2467940,121342,195835,175339,172986,45420,98420,323390
