batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
1,413502-010,583111,86263,11677644,43700,93819,132207,6357072,11410,8073,1124737,107324,980,2922197,70833,118735,122679,15500,10766,253536,1869136,185933,242720,109195,166448,36949,80235,321608
1,QC1,416967,106312,15009482,30071,118255,164141,7680420,6506,6882,1745346,130860,1561,3561156,30701,174980,116187,23879,16257,198684,2398829,217269,174155,192245,279352,77025,93011,360074
1,QC2,357050,96285,12428824,85616,75562,129524,6795683,8695,8019,1447918,109019,1538,3213919,22357,107535,89133,18283,13108,188176,1933755,143020,158205,161041,218068,57748,84462,274525
1,413502-011,145194,57740,9027097,35925,59801,114328,5223253,8851,795,869752,83388,862,1781533,14523,138354,104191,15451,11110,125362,1763895,175015,191954,72732,192877,55115,71034,231132
1,413502-012,179734,46613,10383730,15231,99963,89446,5426199,4351,3007,1008672,93887,1039,1766527,28069,125632,109639,13067,11594,161220,2116897,206198,117222,152598,242286,55829,90455,243845
1,413502-013,291217,73179,11087415,22357,109032,121252,6932479,8291,10247,1412618,107937,1078,2272354,14822,107823,131618,24644,12846,139819,1744964,165709,87588,184739,204174,51164,64000,268439
1,413502-014,200112,45199,9404524,26194,101847,88630,4766684,7499,2330,881279,90206,648,1312029,12261,119836,95586,15231,8258,94096,1540460,155878,253700,102273,203332,57289,103618,367707
1,413502-015,164350,63679,10835285,35479,78317,128282,6008315,8063,4522,1148351,107154,1009,2426692,14445,125615,109449,17104,11584,142551,1812555,207576,181678,161290,287599,78517,104637,409036
1,QC1,448517,115787,15873762,32179,127724,177264,8176107,7592,8244,1860848,143033,1921,3765201,35701,207357,139760,26764,18863,238265,2677445,238538,191380,197702,343337,92845,104256,406563
1,QC2,345058,89805,11375924,81398,71140,123513,6046646,4022,6455,1365491,103259,1373,2949395,23685,112403,97348,20532,13673,198869,1955616,149086,160432,166281,268369,69924,89803,277043
2,QC1,454666,117066,16368673,33149,132930,181588,8499709,8567,8601,1937871,149218,1962,3917035,36704,208693,137817,27429,19022,235577,2768668,244053,196375,200895,359135,95280,110240,427698
2,QC2,320476,85281,10753669,81593,68027,115450,5633605,5288,6737,1315027,98606,1371,2842054,21779,105405,91865,19784,13386,192515,1898579,149365,145802,162789,260188,67905,86523,267895
2,385470-002,78005,26973,6982304,171,35200,50701,3853679,3420,1223,985468,53885,2089,2161079,22507,23529,54497,5947,4685,112237,1491139,90557,29151,149957,70245,11737,40383,133381
2,385470-005,101006,34407,6064029,655,40608,67006,3456781,3052,2093,727780,65060,1982,1557576,10540,40183,43440,5093,4938,71522,1113908,62826,77866,72324,63893,15461,41473,202346
2,385470-006,381346,82823,9405149,1019,72034,101780,4671394,8459,8175,1232286,89189,2577,2240232,14560,71496,67181,6753,6929,139442,1441064,97767,38170,124486,75842,17516,44081,207913
2,385470-007,150608,46856,7797034,506,44429,72057,4125360,4094,3205,1041308,66690,2152,2371575,21911,45006,59098,7109,5146,151065,1443243,96248,27723,123204,83365,20600,40906,143154
2,385470-008,204567,50046,7045120,2263,60704,81956,4152848,2666,1187,878477,74858,2019,1667066,11651,93148,65532,8916,6661,114536,1495056,97206,186385,101099,78100,21960,53485,272137
2,385470-009,163317,61461,6081053,924,94104,90223,3275042,3358,4589,882177,64287,2194,1096251,15470,24145,41989,4128,3251,107906,1647383,62161,25262,154822,70832,17926,36690,134350
2,385470-010,114400,49147,7650684,1501,44132,95720,4288347,2506,2112,1037835,92942,2938,2141039,9824,197236,69046,9550,7173,97693,1480330,87541,135544,87674,79221,26170,69552,315732
2,385470-011,201870,43233,8633051,3433,85106,84208,4025813,3181,687,916167,87353,1955,1399267,14168,111704,58109,10508,5273,70473,1433840,80931,339182,59835,57577,21363,84453,386676
2,385470-012,245045,45215,8710750,1063,95975,69098,4126285,2995,2966,1061732,76016,1992,1747505,28444,39250,49744,10544,7341,132240,1552358,76855,75406,107704,74227,18969,54203,248069
2,385470-013,329041,70800,8484433,3148,61570,95022,4154345,4483,4908,1031724,84578,2906,2400636,21018,80277,55470,7652,6616,119196,1766076,72598,70683,74355,51021,13766,60646,185103
2,385470-014,229143,78956,11341258,53323,96481,149750,5850842,4324,2591,1331263,117189,4596,2909963,11616,287784,96928,9086,7499,115710,2146984,119147,287311,59205,106314,47716,126335,397172
2,385470-015,158910,41387,8614053,1206,47072,81976,4391464,3117,589,890020,71646,3062,1929787,11703,36739,62024,7234,7391,92334,1478337,110303,155871,76443,110990,37669,102627,232405
2,385470-016,249739,71670,9013085,61892,84610,101276,4292045,3109,4125,1236434,85302,2467,2546924,15422,73563,61679,7688,6770,132377,1544854,102413,51479,87547,102642,34254,66766,199742
2,QC1,676124,165755,24689797,4010,181676,232092,12289319,9460,11792,2724420,217843,3392,5915545,40890,253865,190899,25566,18428,256572,3637445,261633,292154,227339,293963,81095,116771,524752
2,QC2,576268,135706,17676720,327,94487,156035,9339772,9803,8986,1953642,153118,2026,4485508,30973,120461,141088,17233,13463,218727,2719773,155675,231001,181777,201345,45097,95786,345301
2,385470-017,182284,45428,6956409,63513,48004,66362,3755126,1688,1821,928537,65406,2189,2202153,12677,60206,52964,7101,7081,111103,1396848,71097,36755,123109,70184,21665,52726,194275
2,385470-018,123746,33016,6901536,83559,47164,64780,3559784,2579,2028,747830,62625,2164,1791686,27450,53394,57170,6141,6458,114348,1458370,90507,44610,113817,84315,25863,53720,163438
2,385470-019,732393,125720,12768727,73245,171973,154482,5892477,4894,13641,1867215,111762,3605,2935922,85016,118029,87602,10363,9159,217133,1777155,131524,192304,100774,104471,35520,101979,396292
2,385470-020,1401092,70349,13491743,62137,164270,111448,5023235,6323,3074,2085241,161148,2180,2651345,26757,405008,110619,18091,7470,90652,1495031,88987,170301,82064,85305,32702,90004,288269
2,385470-022,108435,44948,7091125,52450,54372,78527,3851661,2234,2842,899077,80776,2231,2263223,21464,53115,58670,6792,6902,104427,1468886,88193,41106,114916,64959,20217,60883,177181
2,385470-023,129680,38652,6695181,11095,67382,63510,3646389,2703,1806,926095,80124,2454,1809657,24267,49495,46545,6360,6775,137215,1213620,67067,40638,110046,58821,18171,60277,166186
2,385470-024,359643,60909,8021932,803,73836,105276,4173489,3934,1708,1063480,92627,2722,2321388,22891,59317,52219,7294,7142,96675,1624550,67226,93614,75247,44128,11318,63246,239591
2,385470-025,178062,55045,9316940,59135,87440,106028,4445358,4737,3578,1388053,91450,2283,2542817,31002,91253,67554,7761,5870,121691,1866932,98488,229210,98775,82194,24182,76674,245901
2,385470-026,282804,87241,10832368,56845,78462,130184,5628749,4556,5750,1468840,108820,7575,2783611,18452,108443,75884,10941,8446,163964,1955640,109849,164431,124300,106177,34042,120957,304163
2,385470-027,216772,78163,10787373,51097,91721,131462,5481844,3649,3430,1357883,127872,2780,3038687,17566,83046,63839,10881,9031,108368,1850032,88290,158592,103485,74409,25807,75649,278804
2,385470-028,158447,52120,7084317,61400,76525,82090,3530697,2350,2917,952613,84614,2257,2228238,12645,67435,49966,7512,6439,98878,1048316,68967,121240,53029,49339,20926,71588,230338
2,385470-029,289965,41718,5235126,23584,42354,58442,2568077,1964,1412,643439,42387,1475,1496010,38885,71818,38402,3978,3884,70167,857301,43516,69038,46810,23628,8425,36701,145694
2,385470-030,133027,47573,7517693,717,49340,79146,3742728,2949,3427,915131,76305,2365,2285653,10366,43418,47764,6699,6892,76274,1558949,69329,40270,95043,46856,17199,54004,166359
2,QC1,605995,149069,21670534,4849,161741,212883,10718142,11126,13491,2370659,183092,3991,5148630,40849,242486,179021,24804,18265,235682,3270278,239914,255201,204188,273860,78246,147025,463701
2,QC2,462376,125140,16818024,4272,99809,168525,8861783,6293,11335,1902861,145876,4171,4385602,29540,136375,161519,21102,16210,238410,2762557,170828,222117,200022,216154,45870,137636,357019
3,QC1,616123,152947,22148308,4395,165624,217106,10903111,11975,14283,2424946,189402,4165,5270268,42656,251847,183663,26031,19201,247880,3388840,256318,266071,214305,282802,83239,143926,487642
3,QC2,635424,158048,20619861,3270,121011,206044,10472768,16502,16443,2283325,179487,5007,5374754,36210,174087,184338,24658,19274,295533,3284587,215720,287380,234352,286676,68806,155666,436872
3,390979-001,47068,15566,2929793,266,17844,31355,1554462,934,780,326456,28378,283,697257,5024,25198,15812,3051,3012,32561,428807,15484,25378,25373,11517,4282,20270,80424
3,390979-002,64739,13515,2661883,647,30738,24468,1254964,906,433,225642,24989,163,354915,3674,23933,13637,2048,1905,21041,363465,14375,65829,15243,9739,3910,20881,79276
3,390979-003,169422,24026,4361854,66,53500,34328,1732802,1572,2378,521898,34680,383,897356,5878,34627,19620,3695,4005,57285,466652,25367,10814,42057,19505,4399,16591,62740
3,390979-004,107920,24141,3467682,728,37419,44691,1840954,1457,2892,427177,30573,265,764448,5664,34439,22021,3038,3657,52470,506200,23434,23224,38287,18027,5140,17375,69914
3,390979-005,75299,22807,3092068,201,38427,44982,1669213,1483,4710,508938,36618,449,846819,4807,80110,26660,4487,3022,37722,442417,24146,8293,37757,20082,6028,17290,45070
3,390979-006,77520,19481,2469781,586,17618,32851,1420959,838,698,301078,21693,160,675151,3619,29275,20114,2391,2236,18812,352444,23938,43137,20954,15509,4349,17000,60968
3,390979-007,95862,25993,3884152,416,38974,39812,1869276,1459,875,420357,33012,282,981139,8494,32053,21395,2839,3999,54297,512432,29646,27866,24231,20743,5641,23059,89202
3,390979-008,103804,24158,3365677,456,37100,36814,1647893,901,1113,368621,26804,455,656675,17059,22025,16175,2786,2761,51041,540597,20805,38515,24347,15898,5362,16510,72317
3,390979-009,109236,31263,3756535,307,30854,44502,1901653,1454,2668,447535,32407,439,707147,10109,19755,21988,2748,2545,45507,601857,31848,25328,45161,21906,4042,22529,81286
3,390979-010,123552,27396,3491576,877,44257,41884,1511452,929,1126,415967,32928,379,752824,15273,33204,18405,5115,3082,51909,457711,22399,25108,32939,11485,2488,16379,65632
3,QC1,548080,134116,20288800,3541,155295,189878,10089271,7680,7102,2007933,156764,3817,4158390,30982,187738,149848,22765,14381,182327,2733217,200983,178239,242955,172126,73741,82917,363369
3,QC2,346650,89561,12354049,406,74935,108774,6267796,2845,5701,1276637,97997,2684,2854640,22543,82439,56172,13354,9237,140260,1758244,37971,125629,76665,125425,22080,61289,213734
3,390979-011,73236,16749,2923066,341,27718,31146,1440487,943,1564,330316,22679,338,547770,8632,29120,18447,2387,2187,28925,419381,23832,26825,22099,14150,3868,13187,76340
3,390979-012,44496,13930,3120224,319,31892,22937,1363161,1237,950,322754,28477,178,621079,4950,13628,15049,2560,2547,46132,509204,19479,15662,25128,16793,6162,15076,62714
3,390979-013,48746,20348,4020136,249,28183,37832,1806284,1239,1286,412022,36786,360,786301,6670,19511,21153,3103,2681,38809,730173,31335,34936,31112,24902,8973,17375,114352
3,390979-014,76502,15210,3026115,261,40262,23794,1459820,1542,913,341277,26031,250,682352,8966,21666,17402,2790,2971,50439,412701,23675,13428,24845,17661,6441,13803,52070
3,390979-015,139223,24677,3948275,425,31938,36338,2027671,1021,869,447541,30177,207,1001274,8039,62512,31785,3764,3700,50228,506074,39867,29808,33614,31386,9951,17084,99770
3,390979-016,158905,33424,5319018,641,39462,50549,2507900,1923,1774,747743,48920,367,1500082,4139,93291,42710,6482,5886,66727,584804,48967,39564,39213,41231,9736,22573,117136
3,390979-017,175065,28924,3573905,1702,31469,41896,1715552,1902,313,275875,29864,399,566102,1886,37977,27657,3402,1718,14931,268975,26871,115716,7067,15931,7625,19238,67717
3,390979-018,311127,35328,5686691,2827,66436,45862,2147232,2329,641,559731,37074,896,699079,9401,61517,30670,11648,3542,40362,537326,35019,137633,28274,25518,11884,39926,125183
3,390979-019,93278,23435,4043833,230,31061,34330,1980842,1128,1289,464726,31687,658,951477,4653,22997,22756,3673,3459,56574,601856,32925,23331,36627,23274,7352,20436,79263
3,390979-020,142124,27667,3940856,891,37615,39427,1686728,1551,980,497959,35070,592,864414,3879,28099,23441,3925,3159,37960,520185,29237,37455,26941,17871,4072,21032,87747
3,390979-021,114206,19485,3234566,790,20665,33093,1518447,690,1075,280336,23477,301,682951,6657,24698,19979,3647,2539,25557,431718,24099,50148,20977,16402,6115,18680,58354
3,QC1,542363,135206,19974502,4270,155796,192083,9963328,7639,7712,1968108,149282,3701,4078264,31592,196329,157341,23734,15676,194699,2750670,212571,185724,260442,179248,78028,87303,374042
