C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
0.006287216,0.002701046,0.42046913,0.002425447,0.005260629,0.235680584,0.057037736,0.005107936,0.11766804,0.000539929,0.010839777,0.003794666,0.000524834,0.000394234,0.00536906,0.081356511,0.004811118,0.007449279,0.00481841,0.004353878,0.001438244,0.003822451,0.017352096
0.011079949,0.002372885,0.473837979,0.004671192,0.004621908,0.220962782,0.050285222,0.004794483,0.076800878,0.000777641,0.006131039,0.0031894,0.000576735,0.000289422,0.003867997,0.078698445,0.004442005,0.01861653,0.00328411,0.003160225,0.001172519,0.004635341,0.021223315
0.013130683,0.002422815,0.466764257,0.005142792,0.003702597,0.221106377,0.056892744,0.004073309,0.093639797,0.001524188,0.002103231,0.002665515,0.000564983,0.000393349,0.007086049,0.083182869,0.00411828,0.004040631,0.005771293,0.003977462,0.00101645,0.002904443,0.013292766
0.017038099,0.003666106,0.439333162,0.003188137,0.004920319,0.215116492,0.0534238,0.004379562,0.124307557,0.001088335,0.004156819,0.002872318,0.000396205,0.000342608,0.006172106,0.091449324,0.003759209,0.003660019,0.003850189,0.00264194,0.000712833,0.003140296,0.009584812
0.008817114,0.003038114,0.43639548,0.003712466,0.00576217,0.225132101,0.051225117,0.004509252,0.11197126,0.000446959,0.011073509,0.003729656,0.000349597,0.000288558,0.004452352,0.082612912,0.0045846,0.011055333,0.002278109,0.00409082,0.001836028,0.004861192,0.015282606
0.008472325,0.002206536,0.459260384,0.002509671,0.004370591,0.234131993,0.047451653,0.003819831,0.102887058,0.000623957,0.001958768,0.003306836,0.000385691,0.000394063,0.00492283,0.078817914,0.005880808,0.008310303,0.004075587,0.005917453,0.002008339,0.00547156,0.012390738
0.012338939,0.003541037,0.445313375,0.004180374,0.005003788,0.212058934,0.061089002,0.004214533,0.125836969,0.000761974,0.00363456,0.003047392,0.000379831,0.000334499,0.006540398,0.076327243,0.00505994,0.002543469,0.004325459,0.005071256,0.001692399,0.003298722,0.009868714
0.011023,0.002747072,0.420664589,0.002902866,0.004013,0.227078167,0.05615003,0.003955204,0.133167552,0.000766625,0.003640722,0.003202807,0.000429392,0.000428213,0.006718567,0.084469536,0.00429932,0.002222633,0.007444585,0.004244118,0.001310121,0.00318842,0.01174811
0.00787082,0.002099984,0.438970482,0.00299986,0.0041203,0.226419134,0.047565537,0.00398327,0.113959717,0.001745954,0.003396091,0.003636298,0.000390613,0.000410745,0.007273102,0.092759283,0.005756696,0.002837387,0.007239328,0.005362814,0.001644995,0.003416824,0.010395423
0.025949862,0.004454473,0.452416684,0.00609327,0.005473554,0.208780011,0.066158441,0.003959919,0.104024461,0.003012248,0.004181953,0.003103882,0.000367168,0.000324525,0.007693384,0.062967482,0.004660112,0.006813645,0.003570601,0.003701587,0.001258548,0.003613269,0.014041275
0.04964038,0.002492458,0.478009396,0.005820051,0.003948585,0.177972076,0.07387962,0.005709435,0.093936541,0.000947985,0.014349352,0.003919216,0.000640964,0.000264663,0.003211795,0.052968619,0.003152781,0.006033733,0.002907522,0.003022344,0.001158639,0.003188826,0.010213316
0.006446927,0.00267236,0.42159859,0.003232645,0.004668766,0.228998208,0.053454102,0.004802504,0.134558562,0.001276118,0.003157939,0.003488195,0.000403809,0.000410342,0.006208631,0.087331737,0.005243488,0.00244395,0.006832282,0.003862095,0.001201975,0.00361974,0.01053416
0.008377153,0.002496892,0.432499369,0.004352807,0.004102626,0.235551658,0.059824417,0.005175919,0.11690133,0.001567604,0.003197296,0.003006714,0.000410868,0.000437675,0.008863874,0.078398149,0.004332441,0.002625142,0.007108835,0.003799727,0.001173806,0.003893823,0.010735366
